Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 75 	 80 	 0.000000113218750 	 0.000000004790809 	 9.364816597116064 	 21.860 	 192507.9702 	 2184.97123 	 8832459.2878829706 	 0.000000001710500 	 0.000000000000588 	 True 	 True 	 True 	 True 
True 	 100 	 80 	 0.000000139168750 	 0.000000004452206 	 11.603911594513137 	 13.880 	 172078.8253 	 2091.97236 	 7185521.1748327129 	 0.000000001853500 	 0.000000000000809 	 True 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000159875000 	 0.000000006788235 	 0.353847437953907 	 23.055 	 42804.5515 	 1791.75860 	 6254886.6301798280 	 0.000000000051750 	 0.000000000003735 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 0.000000051682500 	 0.000000003730147 	 0.486099451023660 	 40.839 	 148726.6187 	 2958.29792 	 19348909.2052435540 	 0.000000000032850 	 0.000000000000347 	 True 	 True 	 True 	 True 
True 	 8 	 20 	 0.000000010417500 	 0.000000000747647 	 0.155889113913142 	 39.406 	 30195.6522 	 2431.90141 	 95992320.6143508554 	 0.000000000089150 	 0.000000000000345 	 True 	 True 	 True 	 True 
True 	 10 	 20 	 0.000000018310000 	 0.000000000939853 	 0.244956561521168 	 31.038 	 104628.5714 	 2344.50617 	 54614964.5002730787 	 -0.000000000007350 	 0.000000000000175 	 True 	 True 	 True 	 True 
True 	 15 	 20 	 0.000000014987500 	 0.000000001070000 	 0.418315742832423 	 38.700 	 81013.5135 	 2552.50659 	 66722268.5571309328 	 0.000000000004050 	 0.000000000000185 	 True 	 True 	 True 	 True 
True 	 25 	 20 	 0.000000005435000 	 0.000000000400000 	 0.260632861577835 	 40.051 	 26192.7711 	 2998.68220 	 183992640.2943882346 	 0.000000000018600 	 0.000000000000207 	 True 	 True 	 True 	 True 
True 	 50 	 20 	 0.000000004719750 	 0.000000000253765 	 0.330697107307876 	 31.520 	 99363.1579 	 2965.20144 	 211875629.0057736039 	 0.000000000004750 	 0.000000000000047 	 True 	 True 	 True 	 True 
True 	 75 	 20 	 0.000000002429750 	 0.000000000141500 	 0.276596624349477 	 32.483 	 161983.3333 	 3079.35115 	 411564975.8205577135 	 0.000000000061950 	 0.000000000000015 	 True 	 True 	 True 	 True 
True 	 100 	 20 	 0.000000001999500 	 0.000000000146029 	 0.380600634627631 	 37.970 	 88866.6667 	 3388.24753 	 500125031.2578144073 	 0.000000000060700 	 0.000000000000022 	 True 	 True 	 True 	 True 
False 	 2 	 5 	 0.000000008607000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000020330 	 True 	 True 	 False 	 True 
True 	 5 	 5 	 0.000000002918000 	 0.000000000149871 	 0.019530600139059 	 30.264 	 145900.0000 	 4697.82033 	 342700479.7806716561 	 0.000000000293250 	 0.000000000000020 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 0.000000002938000 	 0.000000000189000 	 0.039407688670569 	 34.432 	  3159.1398 	 2985.94902 	 340367597.0047651529 	 0.000000000580100 	 0.000000000000930 	 True 	 True 	 True 	 True 
True 	 10 	 5 	 0.000000003563000 	 0.000000000239882 	 0.062521224089083 	 37.645 	  6478.1818 	 2439.71448 	 280662363.1770979166 	 0.000000000446100 	 0.000000000000550 	 True 	 True 	 True 	 True 
True 	 15 	 5 	 0.000000003707000 	 0.000000000415000 	 0.162243956332202 	 47.385 	  1716.2037 	 4778.88034 	 269759913.6768276095 	 0.000000000514100 	 0.000000000002160 	 True 	 True 	 True 	 True 
True 	 25 	 5 	 0.000000003047000 	 0.000000000205129 	 0.133658663955033 	 39.788 	  2929.8077 	 4750.78611 	 328191663.9317361116 	 0.000000000329050 	 0.000000000001040 	 True 	 True 	 True 	 True 
True 	 50 	 5 	 0.000000002717000 	 0.000000000137035 	 0.178579504215213 	 32.720 	 11813.0435 	 3839.23159 	 368052999.6319469810 	 0.000000000282850 	 0.000000000000230 	 True 	 True 	 True 	 True 
True 	 75 	 5 	 0.000000002099100 	 0.000000000110024 	 0.215068104836109 	 35.043 	 17492.5000 	 3916.05800 	 476394645.3241866231 	 0.000000000229700 	 0.000000000000120 	 True 	 True 	 True 	 True 
True 	 100 	 5 	 0.000000000954900 	 0.000000000062474 	 0.162826547434552 	 40.474 	 31830.0000 	    0.00000 	 1047230076.4477956295 	 0.000000000349000 	 0.000000000000030 	 True 	 True 	 True 	 True 
False 	 2 	 80 	 0.000000000015825 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000008859 	 False 	 True 	 True 	 True 
False 	 5 	 80 	 0.000000000265625 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000007741 	 False 	 True 	 True 	 True 
False 	 8 	 80 	 0.000000000474062 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006997 	 False 	 True 	 True 	 True 
False 	 10 	 80 	 0.000000000089606 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005549 	 False 	 True 	 True 	 True 
False 	 15 	 80 	 0.000000000307625 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000007982 	 False 	 True 	 True 	 True 
False 	 25 	 80 	 0.000000000199250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004694 	 False 	 True 	 True 	 True 
False 	 50 	 80 	 0.000000000125763 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000295 	 False 	 True 	 True 	 True 
False 	 75 	 80 	 0.000000000027081 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000663 	 False 	 False 	 True 	 True 
False 	 100 	 80 	 -0.000000000082750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 -0.000000000082750 	 False 	 False 	 True 	 True 
False 	 2 	 20 	 0.000050005000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000050005000000 	 True 	 True 	 True 	 False 
True 	 5 	 20 	 0.000000027880000 	 0.000000001662500 	 0.216651066186575 	 32.770 	 2788000.0000 	 2220.58339 	 35868005.7388809174 	 0.000000000090950 	 0.000000000000010 	 True 	 True 	 True 	 True 
